id,city.id.$numberLong,city.name,city.findname,city.country,city.coord.lon,city.coord.lat,city.zoom.$numberLong,id.$numberLong
,141584,Baneh,BANEH,IR,45.8853,35.997501,9,141584
,141665,Bandar-e Lengeh,BANDAR-E LENGEH,IR,54.880669,26.55792,7,141665
141668,141668,Bandar Emām Khomeynī,BANDAR EMāM KHOMEYNī,IR,49.076279,30.429831,8,
141679,141679,Bandar-e Anzali,BANDAR-E ANZALI,IR,49.4622,37.472698,10,
,141681,Bandar Abbas,BANDAR ABBAS,IR,56.2808,27.186501,6,141681
,141736,Bam,BAM,IR,58.356998,29.106001,6,141736
142000,142000,Bahar,BAHAR,IR,48.441399,34.9072,11,
142255,142255,Bafq,BAFQ,IR,55.410671,31.612829,7,
142358,142358,Babolsar,BABOLSAR,IR,52.6576,36.702511,10,
142363,142363,Babol,BABOL,IR,52.678951,36.551319,8,
,142496,Azna,AZNA,IR,48.930698,33.609501,8,142496
142554,142554,Hashtrud,HASHTRUD,IR,47.0508,37.477901,8,
142676,142676,Astara,ASTARA,IR,48.872002,38.4291,9,
,142679,Astaneh-ye Ashrafiyeh,ASTANEH-YE ASHRAFIYEH,IR,49.944439,37.259621,10,142679
,142872,Asadabad,ASADABAD,IR,48.11853,34.78241,9,142872
,143052,Ardestan,ARDESTAN,IR,52.3694,33.376099,8,143052
,143073,Ardakan,ARDAKAN,IR,54.017471,32.310009,9,143073
143083,143083,Ardabil,ARDABIL,IR,48.293301,38.249802,6,
143127,143127,Arak,ARAK,IR,49.689159,34.09174,7,
,143534,Amol,AMOL,IR,52.350719,36.469608,9,143534
,143748,Alvand,ALVAND,IR,49.167801,36.318699,8,143748
,143860,Shahriar,SHAHRIAR,IR,51.059299,35.659599,10,143860
143921,143921,Aligudarz,ALIGUDARZ,IR,49.694901,33.400631,8,
,144269,Aleshtar,ALESHTAR,IR,48.261902,33.8633,9,144269
,144410,Akbarabad,AKBARABAD,IR,52.779301,29.246401,9,144410
,144443,Ajab Shir,AJAB SHIR,IR,45.894299,37.4776,10,144443
,144448,Ahvaz,AHVAZ,IR,48.6693,31.320299,6,144448
144616,144616,Ahar,AHAR,IR,47.069901,38.477402,8,
144696,144696,Aghajari,AGHAJARI,IR,49.831501,30.7006,11,
144794,144794,Abyek,ABYEK,IR,50.549999,36.066669,11,
,145034,Abhar,ABHAR,IR,49.217999,36.146801,10,145034
,145233,Abdanan,ABDANAN,IR,47.4198,32.992599,9,145233
,145449,Abadeh,ABADEH,IR,52.6506,31.160801,7,145449
145459,145459,Abadan,ABADAN,IR,48.304298,30.339199,9,
145531,145531,Saurimo,SAURIMO,AO,20.39155,-9.66078,6,
,145724,Lucapa,LUCAPA,AO,20.744659,-8.41915,6,145724
,146214,Paphos,PAPHOS,CY,32.416672,34.76667,7,146214
146268,146268,Nicosia,NICOSIA,CY,33.366669,35.166672,6,
,146384,Limassol,LIMASSOL,CY,33.033329,34.674999,8,146384
,146400,Larnaca,LARNACA,CY,33.629169,34.916672,9,146400
,146412,Kyrenia,KYRENIA,CY,33.316669,35.341671,8,146412
,146617,Famagusta,FAMAGUSTA,CY,33.950001,35.125,9,146617
,146970,,,AZ,46.7528,39.817699,8,146970
147059,147059,Telmankend,TELMANKEND,AZ,48.399021,39.87867,10,
147105,147105,Shushi,SHUSHI,AZ,46.749191,39.75893,9,
,147271,Salyan,SALYAN,AZ,48.980549,39.59362,9,147271
147425,147425,Neftcala,NEFTCALA,AZ,49.247219,39.374168,8,
,147429,Nakhchivan,NAKHCHIVAN,AZ,45.41222,39.208889,8,147429
,147622,,,AZ,48.85062,38.75428,8,147622
,147982,Imishli,IMISHLI,AZ,48.059952,39.870949,10,147982
,148290,Dzhalilabad,DZHALILABAD,AZ,48.491859,39.209629,8,148290
148340,148340,Pushkino,PUSHKINO,AZ,48.544998,39.458328,10,
148445,148445,Astara,ASTARA,AZ,48.874981,38.455978,13,
,148565,Sirvan,SIRVAN,AZ,48.928551,39.937881,8,148565
148619,148619,Agdam,AGDAM,AZ,46.927361,39.990959,8,
148730,148730,Zanzibar,ZANZIBAR,TZ,39.197929,-6.16394,9,
,148842,Wete,WETE,TZ,39.729382,-5.05589,8,148842
148942,148942,Vwawa,VWAWA,TZ,32.933331,-9.11667,8,
148987,148987,Vikindu,VIKINDU,TZ,39.298489,-7.00667,8,
149027,149027,Uyovu,UYOVU,TZ,31.525829,-3.28333,9,
,149050,Uvinza,UVINZA,TZ,30.391109,-5.10361,9,149050
149129,149129,Ushirombo,USHIROMBO,TZ,31.96389,-3.49194,7,
